Epoch,Model1_Loss,Model1_TrainAcc,Model1_TestAcc,Model2_Loss,Model2_TrainAcc,Model2_TestAcc,Model3_Loss,Model3_TrainAcc,Model3_TestAcc
1,0.5331798851464775,84.71313129976109,81.38060848186846,0.9436917648016018,70.72939899534735,75.94499078057775,0.35068406664586105,89.35435514934115,93.41963736939152
2,0.37755935970174714,89.68526840374065,83.00169022741241,0.7164215930989616,78.95226245392033,79.33312845728334,0.18055995102034553,95.00585716460287,94.61432083589429
3,0.3456042341916352,90.66410981025435,81.5381069452981,0.6689778611234365,80.50954022912434,79.85940381069453,0.14210457371982516,96.23602718783299,94.80639213275968
4,0.3274859646883545,91.17487441841996,84.67655193607867,0.6310950674302798,81.85420623837668,80.97725875845114,0.12006899399334965,96.88345897006559,95.30577750460971
5,0.3154243316338861,91.47948006909469,84.91856177012907,0.6034548731488426,82.7508157011721,81.26152427781193,0.10497379340905948,97.29743145131935,95.4978488014751
6,0.3037706657057594,91.83785912360933,84.5421020282729,0.5765171538642381,83.58256616610522,82.6521204671174,0.09353065224392407,97.56811849341814,95.75138291333744
7,0.2980161787297502,91.9874319145979,84.91856177012907,0.5581215787103044,84.15785885887874,83.53948985863552,0.08473075648830089,97.79264313652818,95.77827289489859
8,0.2905503263730952,92.22022938906795,84.67655193607867,0.5430634511111652,84.5678603810797,83.89674247080517,0.07786740563878508,97.97481088307511,96.03180700676091
9,0.28640258459517104,92.319668822015,85.39874001229256,0.5349950722242401,84.80495972785694,83.27059004302397,0.0715273688249002,98.1104853173789,96.10863552550707
10,0.2820985737378594,92.48198177329795,86.51659496004918,0.5314804719242692,84.8916590005096,79.76336816226183,0.06591254326431865,98.2367287239323,96.13552550706822
11,0.2770220748953954,92.5751338544114,86.51275353411187,0.5209716177943499,85.23994520076508,82.93254456054088,0.06261906613494604,98.32739895563778,96.17393976644131
12,0.2728367916520169,92.72354844900957,86.50122925629994,0.5133410017276305,85.45685883902394,85.29502151198525,0.05801307278490901,98.4354421331992,96.15089121081745
13,0.27074767170692465,92.77401272030549,85.87891825445605,0.510307980572733,85.53677438996142,83.46266133988937,0.054530846118912804,98.5059266563863,96.170098340504
14,0.2675089737450115,92.86021562307657,86.31684081130916,0.50389408104655,85.75021343904909,84.73417332513829,0.050657744430461546,98.59725871460056,96.120159803319
15,0.2647379318166213,92.96991336690999,86.45129071911494,0.49804733915760174,85.91318821684084,84.96081745543945,0.048153331088496246,98.65070120518607,96.05869698832207
